stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding
NEW_D5_6,Synthetic D5 #6,37.238706,-121.962709,D5,0,1
NEW_D5_7,Synthetic D5 #7,37.239397,-121.965212,D5,0,1
1087,Leigh & Gregg,37.239651,-121.922812,U6,0,1
1088,Leigh & Kay,37.236714,-121.922715,U6,0,1
1089,Blossom Hill & Del Oro,37.236110,-121.920733,U6,0,1
1090,Blossom Hill & Belwood,37.236141,-121.916592,U6,0,1
1165,Blossom Hill & Mary Jo,37.236318,-121.917160,U6,0,1
1166,Blossom Hill & Del Oro,37.236285,-121.921069,U6,0,1
1167,Leigh & Blossom Hill,37.236438,-121.922506,U6,0,1
NEW_U6_1,Synthetic U6 #1,37.222458,-121.927801,U6,0,1
NEW_U6_2,Synthetic U6 #2,37.236166,-121.925867,U6,0,1
NEW_U6_3,Synthetic U6 #3,37.228623,-121.908850,U6,0,1
NEW_U6_4,Synthetic U6 #4,37.233441,-121.909336,U6,0,1
NEW_U6_5,Synthetic U6 #5,37.231089,-121.905538,U6,0,1
NEW_U6_6,Synthetic U6 #6,37.231283,-121.909278,U6,0,1
NEW_U6_7,Synthetic U6 #7,37.230843,-121.912953,U6,0,1
NEW_U6_8,Synthetic U6 #8,37.231610,-121.916539,U6,0,1
NEW_D9_1,Synthetic D9 #1,37.181475,-122.049859,D9,0,1
NEW_D9_2,Synthetic D9 #2,37.179556,-122.046625,D9,0,1
NEW_D9_3,Synthetic D9 #3,37.177638,-122.043391,D9,0,1
NEW_D9_4,Synthetic D9 #4,37.175720,-122.040158,D9,0,1
NEW_D9_5,Synthetic D9 #5,37.173802,-122.036924,D9,0,1
NEW_D9_6,Synthetic D9 #6,37.171884,-122.033690,D9,0,1
NEW_D9_7,Synthetic D9 #7,37.169966,-122.030457,D9,0,1
NEW_D9_8,Synthetic D9 #8,37.169679,-122.026462,D9,0,1
1744,Samaritan & National,37.252890,-121.951583,D6,0,1
1745,Good Samaritan Hospital,37.251009,-121.947555,D6,0,1
1747,Samaritan & Winton,37.250563,-121.941846,D6,0,1
2703,Winchester & La Rinconada,37.250631,-121.969297,D4,0,1
1828,Knowles & Capri,37.261739,-121.963036,D3,0,1
1061,Santa Cruz & Nicholson,37.226048,-121.982318,D1,0,1
2696,Main & Jackson,37.220976,-121.974169,D7,0,1
2792,Los Gatos & Fillmer,37.227071,-121.968004,D7,0,1
